タイトル,機関名,リポジトリ名,対象年,対象月,総件数,本文あり件数,DOI付与件数,embargoed access(全件数),metadata only access(全件数),restricted access(全件数),open access(全件数),abstract(全件数),fulltext(全件数),summary(全件数),thumbnail(全件数),dataset,software,other(objectType)(全件数),conference paper(全件数),data paper(全件数),departmental bulletin paper(全件数),editorial(全件数),journal article(全件数),periodical(全件数),review article(全件数),article(全件数),book(全件数),book part(全件数),cartographic material(全件数),map(全件数),conference object(全件数),conference proceedings(全件数),conference poster(全件数),dataset(全件数),image(全件数),still image(全件数),moving image(全件数),video(全件数),lecture(全件数),patent(全件数),internal report(全件数),report(全件数),research report(全件数),technical report(全件数),policy report(全件数),report part(全件数),working paper(全件数),sound(全件数),thesis(全件数),bachelor thesis(全件数),master thesis(全件数),doctoral thesis(全件数),interactive resource(全件数),learning object(全件数),musical notation(全件数),research proposal(全件数),software(全件数),technical documentation(全件数),workflow(全件数),data management plan(全件数),interview(全件数),manuscript(全件数),newspaper(全件数),software paper(全件数),other(全件数),embargoed access(本文あり),metadata only access(本文あり),restricted access(本文あり),open access(本文あり),abstract(本文あり),fulltext(本文あり),summary(本文あり),thumbnail(本文あり),dataset(本文あり),software(本文あり),other(objectType)(本文あり),conference paper(本文あり),data paper(本文あり),departmental bulletin paper(本文あり),editorial(本文あり),journal article(本文あり),periodical(本文あり),review article(本文あり),article(本文あり),book(本文あり),book part(本文あり),cartographic material(本文あり),map(本文あり),conference object(本文あり),conference proceedings(本文あり),conference poster(本文あり),dataset(本文あり),image(本文あり),still image(本文あり),moving image(本文あり),video(本文あり),lecture(本文あり),patent(本文あり),internal report(本文あり),report(本文あり),research report(本文あり),technical report(本文あり),policy report(本文あり),report part(本文あり),working paper(本文あり),sound(本文あり),thesis(本文あり),bachelor thesis(本文あり),master thesis(本文あり),doctoral thesis(本文あり),interactive resource(本文あり),learning object(本文あり),musical notation(本文あり),research proposal(本文あり),software(本文あり),technical documentation(本文あり),workflow(本文あり),data management plan(本文あり),interview(本文あり),manuscript(本文あり),newspaper(本文あり),software paper(本文あり),other(本文あり)
2023年01月,横浜国立大学,横浜国立大学学術情報リポジトリ,2023,1,11937,11828,2132,0,26,0,828,0,828,0,0,0,0,0,119,0,7280,0,1417,0,0,5,454,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,457,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,828,0,828,0,0,0,0,0,119,0,7276,0,1403,0,0,5,452,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,369,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,1153
2023年01月,横浜商科大学,横浜商科大学機関リポジトリ,2023,1,1546,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,809,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722
2023年01月,横浜市立大学,横浜市立大学学術機関リポジトリ,2023,1,2180,2154,566,0,26,0,72,0,72,0,0,0,0,0,0,0,1042,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,757,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,72,0,72,0,0,0,0,0,0,0,1041,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,757,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,211
2023年01月,安田女子大学,安田女子大学リポジトリ,2023,1,553,553,552,0,0,0,6,0,6,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,山梨県立大学,山梨県立大学機関リポジトリ,2023,1,1378,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,26,0,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,26,0,0,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2023年01月,山梨学院大学,山梨学院リポジトリ,2023,1,3425,1517,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,3424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,山口大学,山口大学学術機関リポジトリYUNOCA,2023,1,26027,13021,0,129,13005,0,12893,926,12973,12,0,0,0,0,800,0,15112,0,7445,0,0,123,193,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,1124,0,3,0,0,0,0,0,0,0,0,0,0,427,129,0,0,12892,926,12973,12,0,0,0,0,337,0,8123,0,2339,0,0,49,59,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,1124,0,3,0,0,0,0,0,0,0,0,0,0,348
2023年01月,山口県立大学,山口県立大学学術機関リポジトリ,2023,1,1734,1143,0,0,581,0,14,0,14,0,0,0,0,0,0,0,1707,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,1126,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,山口学芸大学,山口学芸大学・山口芸術短期大学リポジトリ,2023,1,181,124,0,0,57,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023年01月,山形大学,山形大学学術機関リポジトリ,2023,1,5222,4964,155,0,5,0,38,0,38,0,0,0,0,0,0,0,1984,0,1634,0,0,1,515,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,40,26,0,0,0,0,390,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,588,0,0,0,38,0,38,0,0,0,0,0,0,0,1984,0,1629,0,0,1,515,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,40,26,0,0,0,0,137,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,588
